article_id_a,article_id_b,reference_article_id,label
article-000505e4e434af48a908a96b,article-00a4ade1ee519c06a3ab2a75,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-00c53554f22ada10010f5c3d,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-01220e7a97f5bb3bf385c263,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-0245f1ad9454390c079b4ee3,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-027817e05c83f7e773f99433,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-040999b9c872f7374e517fa2,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-04d0b245a968c3e4b0a75741,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-07a6f8a95efacc2791cb764e,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-0b48d398b87db4129a09f862,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-0bd30e8f49e15ff7d465ac8b,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-0dd45ec4b1a5027e07387c45,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-0f6e1818c8a80ba03ba6b49a,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-0ff4e2376a0f197286fc893c,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-103eff955dc00344caf179f3,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-11e53c1006a04bf4d2f057c1,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-12058e07b04b251910af28c5,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-12c38beec2060c059e65026d,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-12f7aea45b252410c729de00,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-136821c563a6d17c76f7382c,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-15967c1739b6b34ce4c83ceb,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-18211dc5d635bb2114ec8b76,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-19e6741f6bd4149bc04e1cf2,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-1ade8858efdf8eaa7b441744,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-1afe23499ec5e0f2321841ee,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-1be8e2061eb8ba98ebbcae92,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-1c6a767d71048571628c49dd,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-1de7949d3a08c43a622e7175,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-1facd0a0b95d8f58c0e5a8d5,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-20aebd9d75901ae07e5ebca8,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-2116babae00280acb8650a37,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-22d862bf0825734402739aeb,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-26c21b791de24eda01f88e79,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-273ccdd7cc631c2a0c649d58,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-2814d0c31ee8089d7a45c361,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-2938c50ec1408bc899154403,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-2b157bd5707e55df1c20f74a,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-2b42042132062743bfb49c75,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-35f265b8e985993f356faa2c,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-369657e62aa4a5a7f891cfcf,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-37eca289851dcaea79f645d5,article-000505e4e434af48a908a96b,unrelated
article-000505e4e434af48a908a96b,article-3d96cc6bf35e154124a93089,article-000505e4e434af48a908a96b,unrelated
